No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.2933	0.10011	0.013355	33.375	391.08	342.9	68.467	0.0016818	0.0042045	76.049	2.8106	0.95558	0.088812	54.969
1.7465	0.086911	0.024678	29.014	391.23	359.97	37.146	0.0016484	0.004121	126.17	1.4713	0.73985	0.16428	0.87573
1.6232	0.08289	0.013846	29.446	390.42	328.23	53.022	0.0018869	0.0047172	55.099	3.9064	0.8586	0.13592	29.946
1.4165	0.10945	0.020481	32.872	436.65	420.45	62.334	0.0021196	0.005299	62.898	1.3776	0.86582	0.089849	12.43
1.198	0.080603	0.019946	28.264	360.34	376.91	42.816	0.0019383	0.0048458	53.657	4.7501	0.93572	0.11844	58.326
1.6535	0.11477	0.019136	26.343	476.33	399	37.405	0.0022368	0.0055919	49.191	3.8037	1.0617	0.14528	62.256
1.5222	0.097074	0.029313	30.447	430.67	313.47	58.415	0.0017423	0.0043557	37.732	3.5616	1.1915	0.12222	60.424
1.7339	0.10765	0.021643	29.902	444.44	311.96	57.493	0.0018195	0.0045487	24.017	1.9768	1.0328	0.20992	68.319
1.7086	0.11656	0.029239	33.12	435.87	303.06	37.774	0.0023036	0.0057589	65.49	2.1983	1.1043	0.077027	6.2204
1.3348	0.10687	0.023604	30.465	374.5	407.45	49.931	0.0022991	0.0057478	59.008	5.3712	0.672	0.14493	92.526
1.6944	0.10139	0.018079	29.84	422.27	357.49	28.946	0.0017776	0.0044441	19.327	3.2217	0.71506	0.14916	64.267
1.0869	0.082322	0.012508	32.228	441.01	324.03	47.594	0.0015386	0.0038466	72.452	3.918	1.0452	0.14556	79.269
1.0102	0.097531	0.019346	26.298	436	334.21	38.301	0.0015522	0.0038806	31.796	3.8757	0.84152	0.096446	55.421
1.5633	0.10903	0.029029	29.578	456.37	365.75	32.763	0.0021718	0.0054296	37.802	2.7195	0.85393	0.16445	37.962
1.0768	0.1002	0.02782	30.474	439.43	353.38	35.708	0.0019267	0.0048168	37.672	2.2854	0.89302	0.098174	84.898
1.7857	0.11702	0.025707	33.73	305.19	286.67	31.406	0.0016351	0.0040878	57.091	2.4363	0.84624	0.093831	21.246
1.7067	0.10556	0.015547	33.811	444.48	297.77	49.462	0.0022907	0.0057267	74.626	1.802	1.1141	0.096334	96.869
1.6216	0.099095	0.016052	29.227	379.43	338.81	35.793	0.0022273	0.0055681	47.307	4.3065	1.0239	0.086435	7.7968
1.5472	0.10515	0.013902	35.672	364.22	374.91	33.484	0.0018717	0.0046791	27.145	4.0769	0.62972	0.1332	66.965
1.3371	0.10534	0.017863	29.813	431.52	370.79	35.836	0.0023519	0.0058797	25.537	4.0144	0.884	0.11125	43.211
1.7628	0.094601	0.02932	26.128	397.95	314.55	45.657	0.0018252	0.004563	56.387	3.8756	1.106	0.1952	62.104
1.3901	0.10113	0.021538	30.445	429.15	307.8	30.683	0.0019995	0.0049986	26.816	4.7445	1.1682	0.21558	58.628
1.6307	0.096664	0.010267	32.148	448.48	318.24	42.049	0.001797	0.0044924	28.964	5.3382	1.1335	0.10556	14.406
1.3832	0.10342	0.028407	26.904	408.7	341.41	38.792	0.0017928	0.0044819	33.101	2.0873	1.1664	0.092333	73.122
1.3308	0.12607	0.015096	28.262	415.22	341.8	36.598	0.0018787	0.0046967	26.374	6.2944	0.69855	0.15324	37.891
1.1	0.089392	0.019038	34.669	350.53	336.07	26.292	0.0022851	0.0057127	51.73	4.645	0.71523	0.11615	32.517
1.7287	0.10467	0.013013	26.576	337	340.39	40.68	0.001462	0.0036551	204.97	2.9809	0.60797	0.14631	36.341
1.325	0.10483	0.016826	29.959	449.03	324.96	38.367	0.0020981	0.0052454	103.28	6.2806	0.85978	0.073801	1.8041
1.4943	0.095494	0.017841	28.155	363.33	258.11	34.262	0.0017616	0.0044041	24.591	5.77	0.84441	0.20339	59.911
1.4803	0.10537	0.015992	31.984	382.34	316.38	28.064	0.0026549	0.0066371	57.742	3.1803	0.77988	0.10785	33.457
1.7305	0.10987	0.010626	32.309	472.69	358.13	39.381	0.0020944	0.0052361	21.555	4.0597	0.65671	0.11616	24.562
1.6441	0.098344	0.020791	34.993	415.44	331.28	23.447	0.0017965	0.0044912	31.63	4.425	0.73955	0.095134	85.759
1.2651	0.11636	0.028317	32.448	334.59	330.61	46.143	0.0017967	0.0044917	304.01	3.3717	1.0374	0.10519	73.136
1.4691	0.099107	0.015696	30.906	471.45	326.76	39.611	0.0029154	0.0072885	43.984	2.0073	1.0337	0.12889	38.031
1.5351	0.097331	0.028239	27.142	405.63	381.7	31.366	0.0021703	0.0054257	540.64	2.27	0.66495	0.13127	46.254
1.0594	0.10561	0.02203	27.307	391.35	312.67	46.222	0.0017039	0.0042598	90.952	2.4612	0.84188	0.090207	12.748
1.4681	0.1035	0.01263	26.82	431.84	316.44	33.849	0.0028892	0.007223	47.657	4.187	1.1845	0.14219	61.045
1.3698	0.10249	0.021777	32.829	337.22	337.36	52.297	0.0018009	0.0045023	39.092	3.2811	1.1903	0.13848	80.948
1.39	0.13436	0.010333	35.142	399.25	318.85	35.195	0.0020486	0.0051216	120.19	3.4867	1.1373	0.066175	61.743
1.1791	0.11394	0.024789	32.942	459.95	378.53	40.704	0.0019028	0.0047571	22.801	0.87611	1.1978	0.087935	53.5
1.7298	0.11625	0.010878	31.405	414.48	391.75	31.225	0.0019708	0.0049269	78.942	2.0828	0.83894	0.10951	94.488
1.021	0.083656	0.014587	32.018	428.5	335.18	31.127	0.0022609	0.0056522	36.277	1.7053	0.66514	0.1355	49.647
1.322	0.095103	0.01348	28.087	340.23	333.54	30.932	0.0024039	0.0060098	109.14	4.466	1.1645	0.15087	74.026
1.7241	0.085264	0.019704	34.975	402.92	420.29	49.911	0.0020858	0.0052146	39.16	1.8886	0.82801	0.11181	74.489
1.1208	0.13495	0.02449	31.607	356.59	342.95	33.78	0.002531	0.0063275	79.368	5.8197	0.71657	0.11762	99.894
1.2665	0.074342	0.021084	31.101	380.48	424.43	46.328	0.0020424	0.0051061	38.257	3.6277	0.87356	0.11491	48.651
1.3508	0.094609	0.014675	27.115	392.12	393.02	42.282	0.0018137	0.0045342	32.372	4.4624	0.66866	0.099605	40.06
1.0195	0.11631	0.015618	35.349	345.24	366.83	31.72	0.0015785	0.0039463	20.239	1.1849	0.80681	0.14833	11.277
1.0774	0.1065	0.015287	34.763	456.77	337.13	33.802	0.0013114	0.0032784	33.576	2.4614	0.94373	0.16333	3.7256
1.1647	0.080267	0.011748	26.872	374.88	381.84	45.319	0.001818	0.004545	680.37	2.8207	1.1247	0.12327	5.3821
1.7839	0.091627	0.028186	27.815	471.77	367.12	36.228	0.001824	0.00456	64.757	3.6546	0.72317	0.14672	35.739
1.0895	0.11018	0.017825	32.081	432.17	409.44	43.619	0.002109	0.0052725	100	3.2413	0.6231	0.098157	63.018
1.4351	0.10394	0.02796	26.905	446.84	377.92	44.565	0.0020667	0.0051668	34.741	4.5127	0.83534	0.11033	54.344
1.4469	0.11334	0.024834	27.928	423.98	352.2	39.134	0.0023306	0.0058266	27.534	1.1799	0.60744	0.13466	7.6544
1.4522	0.11225	0.029165	26.551	377.16	346.22	34.023	0.0018901	0.0047253	31.039	2.5315	0.79924	0.15745	94.649
1.7237	0.11019	0.026415	34.537	420.02	326.19	54.373	0.0021055	0.0052639	54.191	7.7659	0.80249	0.12013	0.92609
1.2919	0.10357	0.016381	34.096	494.35	346.32	38.324	0.0020253	0.0050632	336.53	3.6893	0.63958	0.083196	63.632
1.7412	0.10495	0.0126	33.753	322.11	345.48	37.138	0.0020569	0.0051423	40.322	0.91631	1.157	0.1417	93.475
