No1_diameter[m]	No2_axial_load_ratio	No3_reinforcement_ratio	No4_initial_rebar_diameter[mm]	No5_initial_rebar_yield_strength[MPa]	No6_initial_hoop_yield_strength[MPa]	No7_initial_concrete_strength[MPa]	No8_ec_cover	No9_ecu_cover	No10_diffusion_coefficient[cm^2/s]	No11_Surface_chloride_cocentration[kg/m^3]	No12_Critical_chloride_concentration[kg/m^3]	No13_Corrosion_rate[mm^2/year]	No14_time[year]
1.2696388	0.0995103	0.0200000	30.1013499	480.4680364	321.0952456	42.4966650	0.0020586	0.0051464	30.1277420	3.3961551	0.6308743	0.1355066	50.0000000
1.1563258	0.1017337	0.0200000	29.6468231	339.1554999	401.7593500	31.2789011	0.0016024	0.0040059	66.4061765	4.1269856	0.7844976	0.1133635	50.0000000
1.1279964	0.1036281	0.0200000	28.9156871	385.3816850	393.9308474	49.7268157	0.0024520	0.0061300	65.3523595	2.4795739	1.1792669	0.1443521	50.0000000
1.0977845	0.0911385	0.0200000	29.2714948	361.2590289	341.2093787	49.7143524	0.0030516	0.0076290	16.8248766	6.8940810	1.1588851	0.1644821	50.0000000
1.2952666	0.1066051	0.0200000	29.6361598	413.9992066	501.0114862	38.4740676	0.0016824	0.0042059	61.5060230	3.7755366	0.8268160	0.1353049	50.0000000
1.1869284	0.0872263	0.0200000	29.8357787	346.2234634	334.2389422	44.2978352	0.0016083	0.0040209	161.3104731	3.3461200	0.9706021	0.1527418	50.0000000
1.0136624	0.0771355	0.0200000	30.7054459	327.8240921	387.5200334	30.8129379	0.0024571	0.0061427	22.6680464	1.7838525	0.9375200	0.1518254	50.0000000
1.4604953	0.1019988	0.0200000	29.6432568	380.8068570	345.5052801	43.9267837	0.0019519	0.0048797	32.9678554	2.8575125	1.0983364	0.2430127	50.0000000
1.1589965	0.1023728	0.0200000	30.2232203	325.8368365	287.9411079	38.2390903	0.0014970	0.0037424	25.5820536	1.5814068	1.1746192	0.1519245	50.0000000
1.2116686	0.0865335	0.0200000	31.2462195	384.4598016	432.1852344	37.9060399	0.0019935	0.0049837	31.1063751	1.8615743	1.0310274	0.1022852	50.0000000
1.2325269	0.1026488	0.0200000	30.5434941	360.3069104	427.5536585	53.9373686	0.0025052	0.0062631	107.2759087	2.7315467	0.6453034	0.0785006	50.0000000
1.2425793	0.1212741	0.0200000	30.1389978	374.4388653	309.5997679	32.4509016	0.0019022	0.0047556	34.7908942	1.7516688	1.1328146	0.1326779	50.0000000
1.0432169	0.1147946	0.0200000	30.0508788	331.0468597	350.7260780	58.4185110	0.0016754	0.0041885	83.3522834	3.0373182	0.9374684	0.1479721	50.0000000
1.3465371	0.1223655	0.0200000	29.6336715	422.9675931	429.4795422	39.3795541	0.0017478	0.0043695	16.8164258	3.3638657	0.7166131	0.1604247	50.0000000
1.2301341	0.1026442	0.0200000	30.5047918	411.1537307	373.3093426	42.8411221	0.0017771	0.0044427	14.9331324	2.4900454	0.7328717	0.1546211	50.0000000
1.2172384	0.1109036	0.0200000	30.9771704	371.1743232	362.3484987	52.2655299	0.0023612	0.0059031	98.2400675	6.7702679	1.0234578	0.1052874	50.0000000
1.3620768	0.0929060	0.0200000	30.2853228	341.2972627	342.3971623	48.7985115	0.0015600	0.0038999	75.0001406	5.9764757	0.9580569	0.1226368	50.0000000
1.2190914	0.0972282	0.0200000	30.1843885	385.7769478	357.3839209	32.9770264	0.0021521	0.0053804	60.8393140	6.1048935	0.9517776	0.1346170	50.0000000
0.9933258	0.0790268	0.0200000	30.1412219	390.3496329	428.0384718	32.7208689	0.0023928	0.0059819	96.2722585	4.1381134	1.1810965	0.1295971	50.0000000
1.1980728	0.1008380	0.0200000	30.6204231	313.2949298	330.7511392	32.7235739	0.0016541	0.0041352	52.7881842	4.5251429	0.9490461	0.2206838	50.0000000
1.3287913	0.1096764	0.0200000	29.9369010	438.4547606	342.0921354	44.3375653	0.0024077	0.0060192	29.4024634	2.0553410	1.0668105	0.1350111	50.0000000
1.3400392	0.1111238	0.0200000	29.8014615	458.9010327	339.5507459	48.5267412	0.0020954	0.0052386	55.4009445	2.2949744	0.6598802	0.0759500	50.0000000
1.2873623	0.1052028	0.0200000	29.9800515	338.6303913	295.9923379	39.9144452	0.0019004	0.0047510	92.2013568	2.4986636	0.6486385	0.1344401	50.0000000
0.9061355	0.0950632	0.0200000	29.8357819	459.8556529	314.3040056	33.7376493	0.0020850	0.0052126	52.7767612	3.3425271	0.7329481	0.1137840	50.0000000
0.9850120	0.0822416	0.0200000	30.0418290	366.9862159	358.0706844	54.4034288	0.0012398	0.0030996	82.6997515	6.6748017	0.7223757	0.0907292	50.0000000
1.0999973	0.1159790	0.0200000	29.8082942	408.1408892	297.0849227	33.0181562	0.0017183	0.0042957	65.7722506	3.7416590	0.9744596	0.1105471	50.0000000
1.0951670	0.1018324	0.0200000	29.3734698	377.7145721	330.2949763	36.7386268	0.0015877	0.0039693	94.2816252	3.7925788	1.0351231	0.1449469	50.0000000
